OBJECTID,PlotID,Date,Type,y,x,RASTERVALU
88,35,8/20/2015 0:00:00,Biomass,46.755429999999997,-113.890180000000000,3
89,35,8/15/2014 0:00:00,Pellet,46.667859999999997,-113.956630000000000,3
90,35,8/15/2014 0:00:00,Forage,46.667859999999997,-113.956630000000000,3
91,36,8/20/2015 0:00:00,Biomass,46.754269999999998,-113.891830000000000,3
92,36,8/27/2014 0:00:00,Pellet,46.454430000000002,-113.879690000000000,3
93,36,8/27/2014 0:00:00,Forage,46.454430000000002,-113.879690000000000,3
94,37,8/20/2015 0:00:00,Biomass,46.756639999999997,-113.887440000000000,3
95,37,8/27/2014 0:00:00,Pellet,46.686450000000001,-114.035960000000000,7
96,37,8/27/2014 0:00:00,Forage,46.686450000000001,-114.035960000000000,7
97,38,8/27/2014 0:00:00,Pellet,46.706569999999999,-114.113690000000010,3
98,38,8/27/2014 0:00:00,Forage,46.706569999999999,-114.113690000000010,3
99,39,8/20/2015 0:00:00,Biomass,46.753019999999999,-113.888920000000000,3
100,39,8/29/2014 0:00:00,Pellet,46.808489999999999,-113.877820000000000,6
101,39,8/29/2014 0:00:00,Forage,46.808489999999999,-113.877820000000000,6
102,40,8/19/2015 0:00:00,Biomass,46.320410000000003,-113.893970000000000,3
103,40,9/10/2014 0:00:00,Pellet,46.471420000000002,-113.948020000000000,6
104,40,9/10/2014 0:00:00,Forage,46.471420000000002,-113.948020000000000,6
105,41,8/19/2015 0:00:00,Biomass,46.318700000000000,-113.898840000000010,3
106,41,9/11/2014 0:00:00,Pellet,46.670099999999998,-114.018860000000000,7
107,41,9/11/2014 0:00:00,Forage,46.670099999999998,-114.018860000000000,7
108,42,8/19/2015 0:00:00,Biomass,46.318649999999998,-113.896350000000000,3
109,42,9/12/2014 0:00:00,Pellet,46.691450000000003,-114.126589999999990,3
110,42,9/12/2014 0:00:00,Forage,46.691450000000003,-114.126589999999990,3
111,43,8/19/2015 0:00:00,Biomass,46.317019999999999,-113.901780000000000,3
112,43,9/12/2014 0:00:00,Pellet,46.689160000000001,-113.949000000000000,4
113,43,9/12/2014 0:00:00,Forage,46.689160000000001,-113.949000000000000,4
114,44,9/25/2014 0:00:00,Pellet,46.465519999999998,-113.840450000000000,3
115,44,9/25/2014 0:00:00,Forage,46.465519999999998,-113.840450000000000,3
116,45,9/25/2014 0:00:00,Pellet,46.766219999999997,-113.838510000000000,3
117,45,9/25/2014 0:00:00,Forage,46.766219999999997,-113.838510000000000,3
118,46,9/26/2014 0:00:00,Pellet,46.688600000000001,-114.128590000000000,3
119,46,9/26/2014 0:00:00,Forage,46.688450000000003,-114.129160000000000,3
120,47,9/26/2014 0:00:00,Pellet,46.706200000000003,-113.995430000000000,3
121,47,9/26/2014 0:00:00,Forage,46.706200000000003,-113.995430000000000,3
122,48,10/9/2014 0:00:00,Pellet,46.441650000000003,-113.939280000000000,3
123,48,10/9/2014 0:00:00,Forage,46.441650000000003,-113.939280000000000,3
124,49,10/9/2014 0:00:00,Pellet,46.779150000000001,-113.822320000000000,3
125,49,10/9/2014 0:00:00,Forage,46.779150000000001,-113.822320000000000,3
126,50,10/9/2014 0:00:00,Pellet,46.727930000000001,-114.056690000000000,2
127,50,10/10/2014 0:00:00,Forage,46.705990000000000,-114.044970000000010,2
128,51,10/10/2014 0:00:00,Pellet,46.687829999999998,-114.116180000000000,3
129,51,10/10/2014 0:00:00,Forage,46.687829999999998,-114.116180000000000,3
130,66,8/19/2014 0:00:00,Biomass,46.728360000000002,-113.804599999999990,3
131,68,8/22/2014 0:00:00,Biomass,46.729439999999997,-113.802449999999990,3
132,69,8/19/2014 0:00:00,Biomass,46.730690000000003,-113.799510000000000,3
133,70,8/19/2014 0:00:00,Biomass,46.730289999999997,-113.800870000000000,3
134,71,7/18/2014 0:00:00,Biomass,46.471679999999999,-113.900210000000000,3
135,72,7/16/2014 0:00:00,Biomass,46.471089999999997,-113.902750000000000,3
136,73,7/15/2014 0:00:00,Biomass,46.470030000000001,-113.905460000000010,3
137,74,7/16/2014 0:00:00,Biomass,46.467449999999999,-113.903210000000000,3
138,75,7/18/2014 0:00:00,Biomass,46.470179999999999,-113.898850000000000,3
139,91,7/20/2015 0:00:00,Biomass,46.759590000000003,-114.009649999999990,3
140,92,7/20/2015 0:00:00,Biomass,46.760030000000000,-114.011470000000000,3
141,93,7/20/2015 0:00:00,Biomass,46.757689999999997,-114.005970000000000,3
142,94,7/20/2015 0:00:00,Biomass,46.759979999999999,-114.004980000000000,3
143,95,7/20/2015 0:00:00,Biomass,46.760109999999997,-114.003550000000000,3
144,101,5/7/2015 0:00:00,Pellet,46.863750000000003,-113.901079999999990,3
145,101,5/7/2015 0:00:00,Forage,46.863750000000003,-113.901079999999990,3
146,102,5/7/2015 0:00:00,Pellet,46.706789999999998,-114.096850000000000,6
147,102,5/7/2015 0:00:00,Forage,46.706789999999998,-114.096850000000000,6
148,103,5/8/2015 0:00:00,Pellet,46.704729999999998,-114.038889999999990,6
149,103,5/8/2015 0:00:00,Forage,46.704729999999998,-114.038889999999990,6
